x_m,y_m,w_tr_right_m,w_tr_left_m
40.52748777,28.14859291,1.1,1.1
40.83325812,28.38876063,1.1,1.1
41.13673542,28.63195455,1.1,1.1
41.43844926,28.87736209,1.1,1.1
41.73880072,29.12438179,1.1,1.1
42.03793627,29.3728307,1.1,1.1
42.33597228,29.62257502,1.1,1.1
42.63302543,29.87348087,1.1,1.1
42.92921202,30.1254147,1.1,1.1
43.22464858,30.37824254,1.1,1.1
43.51945163,30.63183077,1.1,1.1
43.81373762,30.88604558,1.1,1.1
44.107623,31.14075326,1.1,1.1
44.4012243,31.39582001,1.1,1.1
44.69465796,31.65111212,1.1,1.1
44.98804044,31.9064957,1.1,1.1
45.28148826,32.16183712,1.1,1.1
45.57511795,32.41700258,1.1,1.1
45.8690458,32.67185829,1.1,1.1
46.1633885,32.92627053,1.1,1.1
46.45826242,33.18010558,1.1,1.1
46.753784,33.43322957,1.1,1.1
47.05002613,33.68555529,1.1,1.1
47.34678268,33.93729185,1.1,1.1
47.64373789,34.18876478,1.1,1.1
47.94057589,34.44030002,1.1,1.1
48.23698068,34.69222342,1.1,1.1
48.53263628,34.94486084,1.1,1.1
48.82722689,35.19853813,1.1,1.1
49.12043645,35.45358132,1.1,1.1
49.41194897,35.71031616,1.1,1.1
49.70166498,35.96883399,1.1,1.1
49.99217629,36.22630891,1.1,1.1
50.28789817,36.47793874,1.1,1.1
50.59328044,36.71888356,1.1,1.1
50.91277303,36.94430355,1.1,1.1
51.24998114,37.14797337,1.1,1.1
51.60318852,37.3149387,1.1,1.1
51.96861248,37.4268551,1.1,1.1
52.34246558,37.46537066,1.1,1.1
52.72068323,37.41282465,1.1,1.1
53.09131589,37.27122656,1.1,1.1
53.43358499,37.06461183,1.1,1.1
53.72975198,36.81324578,1.1,1.1
53.97384093,36.52084258,1.1,1.1
54.163605,36.18852891,1.1,1.1
54.31183633,35.82787555,1.1,1.1
54.44112107,35.4572397,1.1,1.1
54.56712945,35.08845179,1.1,1.1
54.69217776,34.72083015,1.1,1.1
54.8168316,34.35298744,1.1,1.1
54.94114264,33.98481569,1.1,1.1
55.06510596,33.61634803,1.1,1.1
55.18871651,33.24761784,1.1,1.1
55.31196907,32.87865832,1.1,1.1
55.43485876,32.5095027,1.1,1.1
55.5573805,32.14018443,1.1,1.1
55.67952925,31.77073656,1.1,1.1
55.80129995,31.40119246,1.1,1.1
55.92283908,31.0316318,1.1,1.1
56.04479421,30.66228723,1.1,1.1
56.16791656,30.29342317,1.1,1.1
56.29295717,29.92530415,1.1,1.1
56.4207045,29.55821405,1.1,1.1
56.55588147,29.19448354,1.1,1.1
56.71055555,28.84026437,1.1,1.1
56.89759796,28.50212661,1.1,1.1
57.12988005,28.18664019,1.1,1.1
57.41689594,27.90587887,1.1,1.1
57.74824542,27.70433858,1.1,1.1
58.10618855,27.63653049,1.1,1.1
58.47092976,27.70998539,1.1,1.1
58.82049673,27.88215211,1.1,1.1
59.13932408,28.11291522,1.1,1.1
59.43233636,28.37748405,1.1,1.1
59.707386,28.65579348,1.1,1.1
59.96027717,28.94675822,1.1,1.1
60.18036344,29.2601778,1.1,1.1
60.36815807,29.59620283,1.1,1.1
60.53113558,29.94891532,1.1,1.1
60.67687364,30.31230768,1.1,1.1
60.81294969,30.6803724,1.1,1.1
60.94595722,31.04791033,1.1,1.1
61.07691091,31.4143061,1.1,1.1
61.20486182,31.78055772,1.1,1.1
61.32885866,32.14766525,1.1,1.1
61.44796651,32.5166061,1.1,1.1
61.56165376,32.88780701,1.1,1.1
61.6698073,33.26112275,1.1,1.1
61.77233363,33.63638133,1.1,1.1
61.86913926,34.01341084,1.1,1.1
61.96013052,34.39203944,1.1,1.1
