x_m,y_m,w_tr_right_m,w_tr_left_m,w_re_right_m,w_re_left_m
3.713665725487562,-6.3129967698327345,0.7205563148410671,0.8392280267771246,0.7205563148410671,0.8392280267771246
3.6977871226534,-6.312668265947798,0.7169561014449847,0.8431729730711236,0.7169561014449847,0.8431729730711236
3.681904395705183,-6.314752630090272,0.7070595492964906,0.8449888284612812,0.7070595492964906,0.8449888284612812
3.666022469684146,-6.322917756684115,0.7090040140397667,0.8410780195324743,0.7090040140397667,0.8410780195324743
3.6501406563367724,-6.322898769793751,0.6997347479600664,0.8447547600788876,0.6997347479600664,0.8447547600788876
3.634258838413244,-6.322698957538551,0.6963984309109587,0.8489126555954707,0.6963984309109587,0.8489126555954707
3.6183770185103206,-6.333340865190822,0.7036353946846746,0.8423958620861033,0.7036353946846746,0.8423958620861033
3.6024951985321114,-6.332231690353392,0.699685719328204,0.8459684259809847,0.699685719328204,0.8459684259809847
3.586613378580092,-6.340745112497637,0.705603418719739,0.8408460035955067,0.705603418719739,0.8408460035955067
3.570731558630928,-6.342230524368535,0.7049535084704778,0.8429110087160153,0.7049535084704778,0.8429110087160153
3.5548497386815474,-6.342647696419505,0.703601346564141,0.8462913308558448,0.703601346564141,0.8462913308558448
3.5389679187321135,-6.348137534625989,0.7076670440043623,0.8451268610710299,0.7076670440043623,0.8451268610710299
3.523086098782675,-6.352379348044742,0.7108667248572105,0.8445744665977801,0.7108667248572105,0.8445744665977801
3.5072042788332385,-6.352891296171232,0.7104354547350753,0.8479787903527877,0.7104354547350753,0.8479787903527877
3.4913224588838037,-6.355403993644187,0.7106794263533217,0.8495838091711004,0.7106794263533217,0.8495838091711004
3.475440638934368,-6.362782260113277,0.7106045104217195,0.8448814019277978,0.7106045104217195,0.8448814019277978
3.4595588189849313,-6.362916533875886,0.7104288805040131,0.8479045876147797,0.7104288805040131,0.8479045876147797
3.4436769990354947,-6.363126353001391,0.7105495723778045,0.851282795536119,0.7105495723778045,0.851282795536119
3.427795179086058,-6.373296965100849,0.7209124888946956,0.8439592777693785,0.7209124888946956,0.8439592777693785
3.411913359136618,-6.37260901736688,0.7207650496895348,0.8470108208532453,0.7207650496895348,0.8470108208532453
3.396031539187226,-6.372772421065721,0.7218279249294728,0.8495472681129544,0.7218279249294728,0.8495472681129544
3.3801497192383905,-6.37674197457032,0.7270796575873762,0.8481510606120722,0.7270796575873762,0.8481510606120722
3.3642678992886155,-6.382549341712659,0.733964861614431,0.8444979194218841,0.733964861614431,0.8444979194218841
3.348386079299352,-6.382632991317361,0.729258534983701,0.8466226994132235,0.729258534983701,0.8466226994132235
3.3325042591819645,-6.382553242162524,0.7206001974131412,0.8488276684473377,0.7206001974131412,0.8488276684473377
3.3166224411730094,-6.382820763150236,0.7217241729716285,0.8509805455294137,0.7217241729716285,0.8509805455294137
3.300740640655467,-6.386057620560245,0.7262757752272407,0.8508381612907632,0.7262757752272407,0.8508381612907632
3.284858775195597,-6.392653604686627,0.73435983112219,0.8460152588421076,0.73435983112219,0.8460152588421076
3.268975529857244,-6.39264712936672,0.7359637650383234,0.8478432187560176,0.7359637650383234,0.8478432187560176
3.2530899495296173,-6.392586643347883,0.7405569654549714,0.8508087993983222,0.7405569654549714,0.8508087993983222
3.237286025598222,-6.39250448816583,0.7190349738148077,0.8515659932320945,0.7190349738148077,0.8515659932320945
3.2220049076434916,-6.3919045082321455,0.7206119996041908,0.8529117670307456,0.7206119996041908,0.8529117670307456
3.1961925698026756,-6.401835134663731,0.7324799372337385,0.8453592525648023,0.7324799372337385,0.8453592525648023
3.179840851021536,-6.402305016675992,0.7346162873134605,0.8467910270224653,0.7346162873134605,0.8467910270224653
3.1636940967972067,-6.402569934750711,0.7369105772254458,0.8494559894060395,0.7369105772254458,0.8494559894060395
3.147800885280502,-6.40258214411638,0.739262696741306,0.8500662174460216,0.739262696741306,0.8500662174460216
3.131924845806591,-6.402581146843902,0.7419421782827276,0.8498200955208352,0.7419421782827276,0.8498200955208352
3.1160261692064375,-6.402563505582137,0.7450467831139158,0.8500352578701461,0.7450467831139158,0.8500352578701461
3.099916908850498,-6.402336137563145,0.746071132150797,0.8506218068941855,0.746071132150797,0.8506218068941855
3.084169371077993,-6.402470421489927,0.7462222678721664,0.851505986683262,0.7462222678721664,0.851505986683262
3.0575505158932894,-6.391731888640176,0.7381113543832847,0.8617241232569768,0.7381113543832847,0.8617241232569768
3.0424524676629416,-6.392509380292668,0.7372041787506413,0.8604239551522478,0.7372041787506413,0.8604239551522478
3.0266404319548967,-6.392652288438411,0.7367377598902918,0.8599558263645608,0.7367377598902918,0.8599558263645608
3.010751168509865,-6.393374142661145,0.7374247264547135,0.8605081392566447,0.7374247264547135,0.8605081392566447
2.9948678317849597,-6.382867397783189,0.7272032928289803,0.869249892350752,0.7272032928289803,0.869249892350752
2.978986015367838,-6.382836325356058,0.7272131840091383,0.8653043926328057,0.7272131840091383,0.8653043926328057
2.963104219237557,-6.382610053884756,0.7270273491096549,0.8629753994877993,0.7270273491096549,0.8629753994877993
