x,y,left_x,left_y,right_x,right_y,idealRacelineMinDist_x,idealRacelineMinDist_y,idealRacelineMinDistVelocity,idealRacelineMinCurvature_x,idealRacelineMinCurvature_y,idealRacelineMinCurvatureVelocity,raceline_x_u10.0,raceline_y_u10.0,velocity_u10.0,raceline_x_u20.0,raceline_y_u20.0,velocity_u20.0,raceline_x_u30.0,raceline_y_u30.0,velocity_u30.0,raceline_x_u40.0,raceline_y_u40.0,velocity_u40.0,raceline_x_u50.0,raceline_y_u50.0,velocity_u50.0,raceline_x_u60.0,raceline_y_u60.0,velocity_u60.0,raceline_x_u70.0,raceline_y_u70.0,velocity_u70.0,raceline_x_u80.0,raceline_y_u80.0,velocity_u80.0,raceline_x_u90.0,raceline_y_u90.0,velocity_u90.0,raceline_x_u100.0,raceline_y_u100.0,velocity_u100.0
98.98252935293766,-11.112985394017636,99.28666097248032,-11.41399708510122,98.678397733395,-10.811973702934052,98.67839812504155,-10.811974090562895,10.0,98.92990311715133,-11.060899023474416,10.0,98.686951339353,-10.820439561887326,8.834584318118932,98.68246629167773,-10.81600052398868,9.999999451781996,98.67840078127558,-10.811976719548007,9.999999451641507,98.67840078127531,-10.81197671954774,9.999999451641507,98.67840078126791,-10.811976719540409,9.999999451641509,98.67840078127523,-10.811976719547657,9.999999451641509,98.67840078127375,-10.811976719546191,9.999999451641509,98.67840078127556,-10.811976719547971,9.999999451641509,98.67840078127988,-10.811976719552247,9.999999451641509,98.67840078127894,-10.811976719551325,9.999999451641509
98.70888236104349,-11.389468684510959,99.01123673775956,-11.69226156046429,98.40652798432743,-11.086675808557628,98.40652837175107,-11.086676196543145,10.0,98.63751779827658,-11.318000622973223,10.0,98.41059750409225,-11.090751230275437,8.877303305798806,98.40775720309176,-11.087906810036333,9.999999451676393,98.40653099936854,-11.086678827971419,9.999999451624992,98.40653099936806,-11.086678827970923,9.999999451624994,98.40653099934455,-11.086678827947383,9.999999451624994,98.40653099936732,-11.086678827970186,9.999999451624994,98.40653099936671,-11.086678827969582,9.999999451624994,98.40653099936839,-11.086678827971252,9.999999451624996,98.40653099937649,-11.086678827979368,9.999999451624996,98.40653099937369,-11.086678827976558,9.999999451624996
98.43361611017683,-11.66433629970739,98.73417015645143,-11.968905193180483,98.13306206390223,-11.359767406234297,98.13306244699912,-11.35976779444866,10.0,98.34417101752754,-11.573696385746945,10.0,98.13429185764733,-11.36101362775348,8.919811134401069,98.13307401034596,-11.359779512260461,9.999999451605886,98.13306504526305,-11.359770427420594,9.999999451599432,98.13306504526304,-11.35977042742059,9.999999451599432,98.13306504522068,-11.359770427377654,9.999999451599432,98.13306504526138,-11.359770427418894,9.999999451599434,98.1330650452579,-11.359770427415373,9.999999451599434,98.13306504526317,-11.359770427420713,9.999999451599434,98.13306504520352,-11.359770427360267,9.999999451599434,98.13306504523774,-11.359770427394945,9.999999451599434
98.15673529792856,-11.937567250866117,98.45546635412589,-12.243906929217793,97.85800424173124,-11.63122757251444,97.8580046206333,-11.63122796106706,10.0,98.04995156405967,-11.828063755973442,10.0,97.85801576269458,-11.631239386914478,8.962113203192903,97.85800720670112,-11.631230613001524,9.999999451566426,97.85800719039214,-11.631230596277167,9.99999945156643,97.85800719039167,-11.631230596276687,9.999999451566431,97.85800719039814,-11.631230596283322,9.999999451566431,97.8580071903669,-11.631230596251285,9.999999451566433,97.85800719035046,-11.631230596234428,9.999999451566433,97.85800719039302,-11.631230596278062,9.999999451566433,97.85800719015421,-11.631230596033168,9.999999451566433,97.85800719013115,-11.631230596009525,9.999999451566433
97.87824468124522,-12.209140938318228,98.175129793424,-12.517246137470185,97.58135956906644,-11.901035739166272,97.58135994363892,-11.901036127894848,10.0,97.75494574222441,-12.081182200733043,10.0,97.58136240993923,-11.901038687403283,9.00421441803496,97.58136248400209,-11.901038764265184,9.999999451525815,97.58136248401532,-11.901038764278901,9.999999451525818,97.58136248402604,-11.901038764290046,9.99999945152582,97.58136248432305,-11.901038764598281,9.999999451525818,97.58136248409463,-11.90103876436122,9.99999945152582,97.58136248431983,-11.90103876459493,9.99999945152582,97.58136248400906,-11.901038764272416,9.99999945152582,97.58136248595211,-11.90103876628891,9.999999451525818,97.58136248611221,-11.90103876645506,9.999999451525818
97.59814904565253,-12.479036494844394,97.8931670021956,-12.788900812145247,97.30313108910947,-12.16917217754354,97.30313145933688,-12.169172566402125,10.0,97.45923676510323,-12.333133650551476,10.0,97.30313387705652,-12.169175105790087,9.046117735375578,97.30313397799041,-12.169175211803319,9.999999451481331,97.30313400231809,-12.169175237355253,9.999999451481335,97.30313400452077,-12.169175239668785,9.999999451481337,97.30313401049635,-12.169175245945084,9.99999945148134,97.30313400352583,-12.169175238623781,9.999999451481338,97.30313399724665,-12.169175232028604,9.999999451481342,97.30313399853551,-12.169175233382337,9.999999451481337,97.30313397309864,-12.169175206665384,9.999999451481358,97.30313394767518,-12.169175179962524,9.999999451481363
97.31645421174267,-12.747234637156271,97.60963162984586,-13.058815878986529,97.02327679363947,-12.435653395326014,97.02328082375068,-12.435657678422123,10.0,97.16288170119417,-12.5840218158644,10.0,97.0232796078731,-12.435656386219447,9.087831842267184,97.02328733407707,-12.43566459742561,9.999999451530154,97.02330084088666,-12.435678952107281,9.999999451530313,97.0233022406116,-12.435680439698093,9.999999451530275,97.02330751691312,-12.43568604721244,9.999999451529886,97.02330459000923,-12.43568293657604,9.999999451530035,97.02330570449836,-12.435684121025746,9.999999451529881,97.02329842531296,-12.435676384899129,9.999999451530318,97.02330685855867,-12.435685347530663,9.999999451529762,97.02330655894706,-12.435685029111331,9.999999451529641
97.03319853735152,-13.013759562704637,97.32461886908469,-13.326973689193341,96.74177820561836,-12.700545436215933,96.74318900257961,-12.702061739266043,10.0,96.8659165700898,-12.833967456431257,10.0,96.74178117638877,-12.700548629154651,9.129367086655362,96.7429237121787,-12.70177660919055,9.9999994517225,96.74316809669108,-12.702039269936007,9.999999451728549,96.74316950522854,-12.70204078381058,9.999999451728494,96.74317483031164,-12.702046507128658,9.99999945172795,96.74317184711354,-12.702043300832848,9.999999451728174,96.7431730021582,-12.702044542257227,9.999999451727982,96.74316570738456,-12.702036701945818,9.999999451728563,96.74317407793842,-12.702045698489398,9.99999945172776,96.74317375417378,-12.702045350512101,9.999999451727668
96.7484584223618,-13.278687137007518,97.03820845590272,-13.593447381932,96.45870838882087,-12.963926892083036,96.46298336666074,-12.968570871086175,10.0,96.56839222318197,-13.083078252122077,10.0,96.4587289695809,-12.963949249302434,9.170727339191693,96.46244684752935,-12.96798804149635,9.999999451974936,96.4629202872582,-12.968502346889816,9.999999451987046,96.46292165568869,-12.96850383343845,9.999999451987001,96.46292682609885,-12.968509450140377,9.999999451986543,96.46292392752522,-12.968506301371988,9.99999945198673,96.46292505123024,-12.968507522071294,9.999999451986572,96.46291797048293,-12.968499830138601,9.999999451987058,96.46292609077844,-12.968508651349659,9.999999451986358,96.46292577576736,-12.968508309147937,9.999999451986278
96.46231274515772,-13.542096258408357,96.75047889041267,-13.858316102113655,96.17414659990277,-13.225876414703059,96.18264488301115,-13.235202027029647,10.0,96.270362398188,-13.33145906275776,10.0,96.17535654237487,-13.227204148115604,9.211917058605671,96.18184080700274,-13.234319672201037,9.999999452270478,96.1825411301851,-13.235088173605225,9.999999452288156,96.18254245765341,-13.23508963030592,9.999999452288119,96.18254747066158,-13.23509513134303,9.99999945228772,96.18254466023167,-13.23509204731071,9.999999452287879,96.18254574975255,-13.235093242899184,9.999999452287742,96.18253888475634,-13.235085709578334,9.999999452288167,96.18254675783652,-13.235094349122658,9.999999452287547,96.18254645248186,-13.235094014040952,9.999999452287476
