x,y,t
-1.0209849219601033,-0.078731967502458,0.0
-1.013223188623373,-0.0499750880140137,0.08423857190175929
-1.0099505282985677,-0.0301878199854463,0.1505727246218434
-1.0099729992863544,-0.0169058390250995,0.20226086445860864
-1.009726584680125,-0.0038451752225512,0.24373839112530482
-1.010329621657398,0.0094240001333414,0.29438693275759853
-0.9990020766125128,0.0226615462841319,0.37476266679456904
-1.0002391840180511,0.035891495225,0.4311327077282843
-0.9999790504205812,0.0491433456620225,0.4934638663251978
-0.9998596046949332,0.0625067994181378,0.5394650602272562
-1.001059293583289,0.0745520762831066,0.5990108259809497
-0.9908697663349172,0.097972843635171,0.7262938721164718
-0.9902690710056312,0.1117820276763534,0.795405815849107
-0.9896517162798996,0.1259485164364697,0.813330318993724
-0.990708329715318,0.1371435143481019,0.8695359132115175
-0.9792099775037304,0.1733557596849486,1.0474909160736374
-0.9800689735142268,0.1850927913682234,1.090480212590559
-0.9805577323251776,0.1965677766012632,1.1317413844932764
-0.9681135136744246,0.2471505784945424,1.3541683171478776
-0.9590405263550164,0.2877527065119238,1.4560233792123116
-0.9607699705094994,0.2952358630944189,1.4891852393668052
-0.9486609671558116,0.3435176825638084,1.6908045829879546
-0.9356013214925164,0.3728516328874516,1.7823910389162985
-0.9223017427258444,0.4051990552909075,1.8641185788929622
-0.909071478594413,0.4428932385606288,1.9739503818653514
-0.895822019586296,0.4831353564716458,2.0641640490990047
-0.8826488556242822,0.5151492464213856,2.1615535585022103
-0.8694474043981959,0.5411176551391712,2.2566680968397654
-0.8532709393501712,0.5736637703665401,2.3414462230729183
-0.8248299841449835,0.6293164370065867,2.465339466919303
-0.8096897531829796,0.6708303974715388,2.617741390454372
-0.7963440604631256,0.6970089608886809,2.748895379519238
-0.7832381423745343,0.7236476179716949,2.8299905850529026
-0.769944785736369,0.7501212884725277,2.8936399694006467
-0.7544268105644996,0.778160564665356,2.994133651090381
-0.7257093349929669,0.8276055262317659,3.128412139468162
-0.7102984296987422,0.8595228486237261,3.2553861674977984
-0.6832792586807308,0.9002733159519192,3.4998720720772387
-0.6626110607372997,0.9283036420609888,3.5957307045906877
-0.6511104409021105,0.9385669130135046,3.653899697697596
-0.6148150718553467,0.9860209606041348,3.8538750043328935
-0.6076696939010713,0.9931619017552364,3.8797568720654456
-0.5625896355785098,1.0280219407539928,4.021809238851763
-0.549666868283504,1.041006000094967,4.061415578707416
-0.5184568110689582,1.0665227747294015,4.151896414074864
-0.4729370587246571,1.0981130498647804,4.263490385617542
-0.432985278608724,1.1248564057114478,4.342827096665424
-0.3996236146452823,1.1449966159005918,4.421058734836177
-0.3637000317601799,1.1676799453334077,4.495611214978245
-0.3350159424275958,1.183130504881234,4.56373123763978
-0.2986832358257274,1.2061841806999531,4.659944338877624
-0.2736034174032085,1.218173144498273,4.731751568076761
-0.2478468891095175,1.231209865845937,4.7955279140039355
-0.2060002030631764,1.2498399369882875,4.910904162199267
-0.1577098302600497,1.2676143787936065,5.062485726702163
-0.0849100146449135,1.2920362541318546,5.2372510054519985
-0.0611215444302768,1.3032756606575866,5.340613961283066
0.007500006796139,1.3258969639990497,5.701882317730548
0.0516390667795967,1.340853855265383,5.779367947005752
0.0861032127189087,1.3543043093512743,5.874179259670104
0.1323482230385355,1.3674544071830823,6.02692419957553
0.1830451841994822,1.3807000680214188,6.141412317909944
0.2323266846385365,1.3940014114330523,6.225054832359347
0.2762772012465806,1.406903250322504,6.326060055747737
0.3410439139772805,1.420132258502342,6.524859184474087
0.3610311662872565,1.4226194955596227,6.596336408766439
0.4185259896176827,1.436847596694097,6.855622170133566
0.4602377073729879,1.450063148790214,6.976141224084039
0.4729558953286972,1.4497700886658151,7.027438482265428
0.4866702375044944,1.4500371390615072,7.075417958707846
0.4998386330882987,1.4500014856268706,7.115782872856636
0.5132508852111428,1.4501771481219805,7.153103563477824
0.5252349365435123,1.4489229726952289,7.194912267146103
0.5492411822385783,1.4596922581134315,7.295730801212722
0.5625111813365624,1.4597251089650136,7.3489712520728645
0.5761048900669028,1.460081664346987,7.395074240911988
0.5892281936770445,1.4599678216724108,7.443948702899954
0.6019606900069352,1.459463173891038,7.488102623782486
0.6216012190102074,1.4658665230231946,7.577318385895722
0.6391725164093458,1.4702007547055975,7.647566640678877
0.6522746248699338,1.4700663093448083,7.712493264443492
0.6654279238216496,1.4699764100703732,7.7422980686329055
0.6786846196353817,1.4700139618867,7.780314221181073
0.691920718946097,1.47010799272104,7.811423931102143
0.7051574560680383,1.468977826466137,7.85707526152939
0.7183947102337669,1.47872960690977,7.920395594458159
0.7316318506299222,1.479795774827803,7.965958972274339
0.7448689963456747,1.4800728165691055,8.008377007381066
0.7581061446154571,1.479993545151988,8.046665849521832
0.7713432922671704,1.4800042767240311,8.079537352043479
0.7845804398096021,1.479932223339116,8.113089401606022
0.7978175880989795,1.480243474979222,8.15882614360625
0.8110547367957253,1.4807822406786038,8.199157661677846
0.8242918589927584,1.4910651454973696,8.267756066216972
0.8375291265142284,1.4898582488842322,8.32988435562473
0.8507663791437423,1.489992056084766,8.39557604432286
0.8639989247438162,1.4900011448332684,8.461739657002635
0.8772599196470843,1.4900186236243975,8.481025733839832
0.8905010245019849,1.4900233754323224,8.504115514879794
0.902915617309466,1.489200876778007,8.555596579446478
0.9242066164214132,1.4972546948651375,8.669331475844633
0.9401579900394044,1.4999689254293005,8.741060949040452
0.95350309169425,1.5000768795982786,8.807802210375865
0.9666490764563472,1.4999857164956794,8.868858803468727
0.9799006818510224,1.5000001742253453,8.930815304124167
