,x_m,y_m,curvature,vel_5,Tvec_5,vel_8,Tvec_8,vel_10,Tvec_10,vel_12,Tvec_12,vel_15,Tvec_15
324,-0.7179757062377703,52.37707575937334,0.00014220908016658801,5.000000049703898,24.53385451157294,7.994028062654844,16.45688097029715,9.9564881786516,14.040481761880297,11.9427067824522,12.58350610544003,14.814861809136943,11.566502519061926
325,-1.0821292966158929,52.37593939341868,0.00013608559038172095,5.000000049703387,24.606685583534404,7.994028120830865,16.502434395591333,9.962829989322703,14.077033086726905,11.942216782610611,12.613999213799866,14.814451836036438,11.59108354747457
326,-1.4462821546775022,52.374821166356966,0.00013405170765728148,5.000000049702874,24.679516497802943,7.993983865246009,16.54798797447634,9.976885833635816,14.113532340795306,11.942216967475677,12.644492254473812,14.814501303791946,11.615664451197759
327,-1.8104344352991402,52.37372064123368,0.0001285666683902173,5.00000004970236,24.75234728579844,7.99396125289663,16.593541603236,9.958829596788823,14.15009827257423,11.942665061289807,12.674984098764249,14.815905817873789,11.640242980666644
328,-2.1745860784383053,52.37263722671229,0.0001257812218151044,5.0000000497018435,24.825177936036273,7.993958043667958,16.63909516409463,9.96247879593841,14.186650679435733,11.941809018118471,12.705478071106432,14.81376136298158,11.66482501816283
329,-2.5387371664036387,52.371570414354714,0.00011941836412178315,5.000000049701325,24.898008465436693,7.993997151132395,16.684648426523594,9.973485171200357,14.223162442335967,11.941871944977063,12.735971831740974,14.81401397772431,11.68940659635729
330,-2.9028877133521993,52.37051955431434,0.00011825762361864044,5.000000049700805,24.9708388773574,7.993956578518901,16.730201846658648,9.969438524098134,14.259689141799047,11.941699456680176,12.766465983900565,14.813276053389217,11.713989361776353
331,-3.2670377255712904,52.36948428664473,0.00011298141925425151,5.000000049700283,25.04366917340021,7.9939573122319665,16.775755190142615,9.976943080748635,14.296188010490175,11.942193291095215,12.7969588270169,14.814473891254677,11.73857009529806
332,-3.6311871422210387,52.36846400999113,0.00010803339440331278,5.00000004969976,25.116499341867573,7.993902210742866,16.821308767821325,9.955792176680339,14.332764756776697,11.941636581030652,12.827453037299211,14.812344259767407,11.763154326005477
333,-3.995336123023747,52.36745809745818,0.00010476006010270579,5.000000049699234,25.18932941517346,7.993925864911877,16.866862151195257,9.955103674721396,14.369344018495164,11.942041634669721,12.857946174380965,14.812237276017965,11.78773870211964
